Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
  1320,      5189.9,      1721.4,      1134.3,        25.2,       578.6,           0,      2613.8,      1357.8,       277.8,           0,       246.9,           0,       514.6,        81.8,        81.8,      1037.6,       256.6,       256.6,        55.0,        17.2,        55.0,           0,           0,        17.2,       649.9,       649.9,       353.2,       353.2,       227.1,       227.1,        69.7,        69.7,           0,           0,           0,           0,       353.2,       353.2,       227.1,       227.1,        69.7,        69.7,           0,           0,           0,           0,           0,           0,         3.5,           0,         2.0,           0,           0,         4.8,           0,         3.0
  1321,       219.8,       687.6,           0,       319.7,           0,        67.5,           0,        80.6,           0,           0,           0,           0,           0,       129.4,       129.4,           0,        90.4,        90.4,           0,         8.1,           0,           0,           0,         8.1,       177.2,       177.2,        82.5,        82.5,        65.0,        65.0,        29.7,        29.7,           0,           0,           0,           0,        82.5,        82.5,        65.0,        65.0,        29.7,        29.7,           0,           0,           0,           0,           0,           0,         1.0,           0,         0.8,           0,           0,         1.4,           0,         1.3
  1322,       100.0,       490.6,           0,       211.6,           0,           0,           0,       178.9,           0,           0,           0,           0,           0,        61.0,        61.0,           0,        39.0,        39.0,           0,         5.6,           0,           0,           0,         5.6,       112.6,       112.6,        52.4,        52.4,        41.3,        41.3,        18.9,        18.9,           0,           0,           0,           0,        52.4,        52.4,        41.3,        41.3,        18.9,        18.9,           0,           0,           0,           0,           0,           0,         0.6,           0,         0.5,           0,           0,         0.9,           0,         0.8
  1323,        27.8,       162.4,           0,        60.3,           0,           0,           0,        74.3,           0,           0,           0,           0,           0,        13.3,        13.3,           0,        14.6,        14.6,           0,         1.8,           0,           0,           0,         1.8,        32.8,        32.8,        15.3,        15.3,        12.0,        12.0,         5.5,         5.5,           0,           0,           0,           0,        15.3,        15.3,        12.0,        12.0,         5.5,         5.5,           0,           0,           0,           0,           0,           0,         0.2,           0,         0.2,           0,           0,         0.3,           0,         0.2
  1324,      1403.7,      5562.1,           0,      3137.7,           0,        53.6,           0,       967.1,           0,           0,           0,           0,           0,      1012.6,      1012.6,           0,       391.1,       391.1,           0,        71.2,           0,           0,           0,        71.2,      1658.5,      1658.5,       828.1,       828.1,       570.1,       570.1,       260.3,       260.3,           0,           0,           0,           0,       828.1,       828.1,       570.1,       570.1,       260.3,       260.3,           0,           0,           0,           0,           0,           0,         8.8,           0,         7.4,           0,           0,        12.1,           0,        11.1
  1325,      1260.9,      3925.5,           0,      1905.3,           0,       414.4,           0,       344.9,           0,           0,           0,           0,           0,       743.8,       743.8,           0,       517.1,       517.1,           0,        50.9,           0,           0,           0,        50.9,      1009.4,      1009.4,       504.0,       504.0,       347.0,       347.0,       158.4,       158.4,           0,           0,           0,           0,       504.0,       504.0,       347.0,       347.0,       158.4,       158.4,           0,           0,           0,           0,           0,           0,         5.4,           0,         4.5,           0,           0,         7.4,           0,         6.8
  1326,      2545.6,      8242.5,           0,      3926.0,           0,      1093.5,           0,       677.4,           0,           0,           0,           0,           0,      1299.3,      1299.3,           0,      1246.3,      1246.3,           0,       107.6,           0,           0,           0,       107.6,      2101.3,      2101.3,      1049.2,      1049.2,       722.3,       722.3,       329.8,       329.8,           0,           0,           0,           0,      1049.2,      1049.2,       722.3,       722.3,       329.8,       329.8,           0,           0,           0,           0,           0,           0,        11.2,           0,         9.4,           0,           0,        15.3,           0,        14.1
  1327,      5169.5,      9771.9,       749.7,      4148.9,       405.9,       164.5,      1724.9,      2632.2,       174.9,       298.2,       155.4,       569.3,       344.6,      1125.9,      1125.9,       712.5,       832.8,       832.8,        36.8,       116.0,        36.8,           0,           0,       116.0,      2649.9,      2649.9,      1359.7,      1359.7,       901.5,       901.5,       388.7,       388.7,           0,           0,           0,           0,      1359.7,      1359.7,       901.5,       901.5,       388.7,       388.7,           0,           0,           0,           0,           0,           0,        13.9,           0,        11.1,           0,           0,        19.1,           0,        16.6
  1328,      1962.1,      6398.5,           0,      3584.2,           0,       389.0,           0,       463.2,           0,           0,           0,           0,           0,      1342.8,      1342.8,           0,       619.3,       619.3,           0,        81.8,           0,           0,           0,        81.8,      1892.5,      1892.5,       944.9,       944.9,       650.5,       650.5,       297.0,       297.0,           0,           0,           0,           0,       944.9,       944.9,       650.5,       650.5,       297.0,       297.0,           0,           0,           0,           0,           0,           0,        10.0,           0,         8.5,           0,           0,        13.8,           0,        12.7
  1329,       471.0,      2090.8,           0,      1118.8,           0,        58.6,           0,       442.4,           0,           0,           0,           0,           0,       302.4,       302.4,           0,       168.5,       168.5,           0,        27.0,           0,           0,           0,        27.0,       586.4,       586.4,       292.8,       292.8,       201.6,       201.6,        92.0,        92.0,           0,           0,           0,           0,       292.8,       292.8,       201.6,       201.6,        92.0,        92.0,           0,           0,           0,           0,           0,           0,         3.1,           0,         2.6,           0,           0,         4.3,           0,         3.9
  1330,      2998.1,     12253.7,           0,      5767.6,           0,       677.9,           0,      2810.1,           0,           0,           0,           0,           0,      1672.7,      1672.7,           0,      1325.3,      1325.3,           0,       159.7,           0,           0,           0,       159.7,      3033.5,      3033.5,      1514.7,      1514.7,      1042.7,      1042.7,       476.1,       476.1,           0,           0,           0,           0,      1514.7,      1514.7,      1042.7,      1042.7,       476.1,       476.1,           0,           0,           0,           0,           0,           0,        16.1,           0,        13.6,           0,           0,        22.1,           0,        20.3
  1331,      9423.8,     12809.6,      1675.3,      4438.3,       878.8,       450.3,      3472.9,      4831.6,       304.1,           0,       270.3,       267.0,       777.6,      1173.5,      1173.5,      1509.7,      1649.0,      1649.0,        77.9,       166.1,        77.9,           0,           0,       166.1,      3459.8,      3459.8,      1816.7,      1816.7,      1166.4,      1166.4,       476.6,       476.6,           0,           0,           0,           0,      1816.7,      1816.7,      1166.4,      1166.4,       476.6,       476.6,           0,           0,           0,           0,           0,           0,        18.0,           0,        13.6,           0,           0,        24.7,           0,        20.4
  1332,       717.6,      1573.2,       110.4,       584.1,        50.8,        80.2,       191.9,       575.2,        16.3,           0,        14.5,           0,        50.9,       159.9,       159.9,        84.6,       173.8,       173.8,         4.6,        17.6,         4.6,           0,           0,        17.6,       389.5,       389.5,       187.0,       187.0,       141.6,       141.6,        60.9,        60.9,           0,           0,           0,           0,       187.0,       187.0,       141.6,       141.6,        60.9,        60.9,           0,           0,           0,           0,           0,           0,         2.2,           0,         1.7,           0,           0,         3.0,           0,         2.6
  1333,        14.5,        13.7,         4.4,         8.3,         1.7,           0,         5.6,         3.1,         0.3,           0,         0.2,           0,         2.2,         1.8,         1.8,         3.2,         0.6,         0.6,         0.2,         0.2,         0.2,           0,           0,         0.2,         1.5,         1.5,         0.8,         0.8,         0.5,         0.5,         0.2,         0.2,           0,           0,           0,           0,         0.8,         0.8,         0.5,         0.5,         0.2,         0.2,           0,           0,           0,           0,           0,           0,         0.0,           0,         0.0,           0,           0,         0.0,           0,         0.0
  1334,      4019.2,      4172.1,       643.8,       553.4,       312.2,       979.3,      1316.9,      1134.6,       127.9,           0,       113.7,           0,       294.0,       430.2,       430.2,       542.7,      1074.5,      1074.5,        29.2,        45.7,        29.2,           0,           0,        45.7,       702.5,       702.5,       357.2,       357.2,       251.0,       251.0,        94.4,        94.4,           0,           0,           0,           0,       357.2,       357.2,       251.0,       251.0,        94.4,        94.4,           0,           0,           0,           0,           0,           0,         3.9,           0,         2.7,           0,           0,         5.3,           0,         4.0
