Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2797,1622.2,5038.4,0,1624.3,0,962.2,0,829.7,0,0,0,0,0,618.3,618.3,0,1003.9,1003.9,0,51.8,0,0,0,51.8,1660.5,1660.5,859.4,859.4,514.4,514.4,286.7,286.7,0,0,0,0,859.4,859.4,514.4,514.4,286.7,286.7,0,0,0,0,0,0,7.9,0,8.2,0,0,10.9,0,12.2
2798,247.6,2709,3.7,375,1.5,39.7,5,561.1,0.4,1496.5,0.4,0,1.7,84.1,84.1,2.7,152.5,152.5,0.1,11.9,0.1,0,0,11.9,375.7,375.7,207.4,207.4,108.2,108.2,60,60,0,0,0,0,207.4,207.4,108.2,108.2,60,60,0,0,0,0,0,0,1.7,0,1.7,0,0,2.3,0,2.6
2799,1476.9,726.9,336,154.2,174.1,0,691.1,436.3,73.8,0,65.6,0,155,54.1,54.1,297.3,82.4,82.4,11.3,6.9,11.3,0,0,6.9,382.3,382.3,228.9,228.9,111.7,111.7,41.7,41.7,0,0,0,0,228.9,228.9,111.7,111.7,41.7,41.7,0,0,0,0,0,0,1.7,0,1.2,0,0,2.4,0,1.8
2800,1263.1,563.6,286.9,35.8,149.8,0,596.8,421.3,65.2,0,57.9,0,132.3,28.6,28.6,256.6,77.8,77.8,9.7,5.1,9.7,0,0,5.1,345.3,345.3,205.2,205.2,101.2,101.2,38.8,38.8,0,0,0,0,205.2,205.2,101.2,101.2,38.8,38.8,0,0,0,0,0,0,1.6,0,1.1,0,0,2.1,0,1.7
2801,1271.4,2195.5,248,349.6,129.5,11.9,528.1,795,57,780.8,50.6,0,114.4,91.1,91.1,223.4,167,167,8.5,13.6,8.5,0,0,13.6,639.2,639.2,353.6,353.6,193,193,92.5,92.5,0,0,0,0,353.6,353.6,193,193,92.5,92.5,0,0,0,0,0,0,3,0,2.6,0,0,4.1,0,3.9
2802,3117,1529.9,674,94.8,343.6,90.9,1436.1,967.4,151.6,0,134.8,0,311.5,106,106,596.6,270.8,270.8,23,14.2,23,0,0,14.2,861,861,535.4,535.4,233.4,233.4,92.3,92.3,0,0,0,0,535.4,535.4,233.4,233.4,92.3,92.3,0,0,0,0,0,0,3.6,0,2.6,0,0,4.9,0,3.9
2803,1374.1,586.1,313.2,70.9,163.2,0,650.4,402.7,71.4,0,63.5,0,144.3,36.4,36.4,278.7,76,76,10.6,5.5,10.6,0,0,5.5,352.9,352.9,211.3,211.3,103.1,103.1,38.5,38.5,0,0,0,0,211.3,211.3,103.1,103.1,38.5,38.5,0,0,0,0,0,0,1.6,0,1.1,0,0,2.2,0,1.6
