Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
548,2764.1,2248.7,495.4,373.1,323.5,111.1,1253,1274.5,107.1,0,95.2,0,236.7,147.8,147.8,566.4,342.2,342.2,33.5,24,33.5,0,0,24,1164.2,1164.2,676.7,676.7,346.3,346.3,141.2,141.2,0,0,0,0,676.7,676.7,346.3,346.3,141.2,141.2,0,0,0,0,0,0,5.3,0,4,0,0,7.3,0,6
549,969.1,4536.5,4.2,1577.6,2,48.3,7.6,1956.2,0.5,0,0.5,0,2,292.9,292.9,3.5,661.5,661.5,0.2,50.7,0.2,0,0,50.7,1596.3,1596.3,840.9,840.9,495.8,495.8,259.6,259.6,0,0,0,0,840.9,840.9,495.8,495.8,259.6,259.6,0,0,0,0,0,0,7.7,0,7.4,0,0,10.5,0,11.1
550,1386.4,4035.5,180.2,982.2,106.9,0,393.3,2392.3,23.8,0,21.2,0,86,221.1,221.1,190.3,439.8,439.8,11.3,43.4,11.3,0,0,43.4,1226.7,1226.7,667.8,667.8,375.8,375.8,183.1,183.1,0,0,0,0,667.8,667.8,375.8,375.8,183.1,183.1,0,0,0,0,0,0,5.8,0,5.2,0,0,8,0,7.8
551,3078.4,1440.1,740.9,60.8,378.1,0,1451.1,1099,120.7,0,107.3,0,348.6,71.7,71.7,660.7,208.7,208.7,43.2,14.7,43.2,0,0,14.7,992.1,992.1,598,598,290,290,104.1,104.1,0,0,0,0,598,598,290,290,104.1,104.1,0,0,0,0,0,0,4.5,0,3,0,0,6.1,0,4.4
552,122.8,439.3,3.4,141.9,2.2,18.9,10.8,174.5,1.3,0,1.2,0,1.5,36.2,36.2,3.8,67.8,67.8,0.2,4.9,0.2,0,0,4.9,138.4,138.4,73.1,73.1,42.9,42.9,22.4,22.4,0,0,0,0,73.1,73.1,42.9,42.9,22.4,22.4,0,0,0,0,0,0,0.7,0,0.6,0,0,0.9,0,1
553,1809.5,4758.3,3.2,925.5,1.6,1328.8,5.3,705.1,0.2,0,0.2,0,1.6,507.5,507.5,2.9,1291.4,1291.4,0.2,53.9,0.2,0,0,53.9,954.2,954.2,534.8,534.8,275.3,275.3,144.1,144.1,0,0,0,0,534.8,534.8,275.3,275.3,144.1,144.1,0,0,0,0,0,0,4.3,0,4.1,0,0,5.8,0,6.2
554,5216.2,8409.9,473.1,1427,269.6,2155.7,1109.6,1679.7,114.6,0,101.8,0,222.4,924.2,924.2,468.9,2223.4,2223.4,30.1,94.4,30.1,0,0,94.4,2072.1,2072.1,1208.2,1208.2,585.5,585.5,278.4,278.4,0,0,0,0,1208.2,1208.2,585.5,585.5,278.4,278.4,0,0,0,0,0,0,9,0,8,0,0,12.4,0,11.9
555,1762.5,2213.7,255.8,480.8,142.8,298,594.1,782.6,62.3,0,55.3,0,119.9,215,215,248.8,437.3,437.3,16.1,24.5,16.1,0,0,24.5,793.5,793.5,469.5,469.5,222.4,222.4,101.6,101.6,0,0,0,0,469.5,469.5,222.4,222.4,101.6,101.6,0,0,0,0,0,0,3.4,0,2.9,0,0,4.7,0,4.3
556,2564.9,1126.8,549.6,35.1,306.3,0,1250.3,874.7,127.9,0,113.7,0,258.1,53.7,53.7,531.2,163.3,163.3,34.4,11.4,34.4,0,0,11.4,729.3,729.3,463.4,463.4,195.9,195.9,70,70,0,0,0,0,463.4,463.4,195.9,195.9,70,70,0,0,0,0,0,0,3,0,2,0,0,4.2,0,3
557,3125.8,1265.6,662.7,23.5,372.1,0,1542.5,992.8,158.5,0,140.8,0,311.2,60.9,60.9,651.1,188.3,188.3,41.9,12.8,41.9,0,0,12.8,865.7,865.7,551.4,551.4,232.2,232.2,82.1,82.1,0,0,0,0,551.4,551.4,232.2,232.2,82.1,82.1,0,0,0,0,0,0,3.6,0,2.3,0,0,4.9,0,3.5
558,1558.8,918.2,318.7,135.5,181.5,0,741.2,610.7,76.9,0,68.4,0,149.8,52.9,52.9,315.2,119.2,119.2,20.2,9.6,20.2,0,0,9.6,541.9,541.9,335.9,335.9,147.8,147.8,58.2,58.2,0,0,0,0,335.9,335.9,147.8,147.8,58.2,58.2,0,0,0,0,0,0,2.3,0,1.7,0,0,3.1,0,2.5
559,234.7,780.6,0,201.6,0,123.1,0,221.2,0,0,0,0,0,65.5,65.5,0,169.2,169.2,0,8.8,0,0,0,8.8,201.4,201.4,112.8,112.8,58.1,58.1,30.5,30.5,0,0,0,0,112.8,112.8,58.1,58.1,30.5,30.5,0,0,0,0,0,0,0.9,0,0.9,0,0,1.2,0,1.3
560,3072.1,1330.9,660.2,21.5,377.1,4,1500.3,1041.1,143.1,0,127.1,0,311.5,63.9,63.9,655.7,200.5,200.5,41.5,13.5,41.5,0,0,13.5,925.3,925.3,560.2,560.2,269.8,269.8,95.2,95.2,0,0,0,0,560.2,560.2,269.8,269.8,95.2,95.2,0,0,0,0,0,0,4.2,0,2.7,0,0,5.7,0,4.1
561,4044.5,3049.8,868.3,188.5,488.6,0,1935.8,1619.5,174.8,820.1,155.3,0,408.5,112.5,112.5,866.7,309.3,309.3,54.2,23,54.2,0,0,23,1288.1,1288.1,808.9,808.9,348.6,348.6,130.6,130.6,0,0,0,0,808.9,808.9,348.6,348.6,130.6,130.6,0,0,0,0,0,0,5.4,0,3.7,0,0,7.4,0,5.6
562,1415.2,1032,330.2,240.5,162.2,0,626.7,601.8,56.3,0,50.1,0,154.7,67.1,67.1,277.4,122.7,122.7,18.8,11.1,18.8,0,0,11.1,635,635,366.7,366.7,189.5,189.5,78.8,78.8,0,0,0,0,366.7,366.7,189.5,189.5,78.8,78.8,0,0,0,0,0,0,2.9,0,2.3,0,0,4,0,3.4
563,4577.5,1968.2,1046.3,48.6,550.9,4,2203.6,1528,206.1,0,183.1,0,490.5,94.7,94.7,975.8,292.9,292.9,63.1,20,63.1,0,0,20,1314.8,1314.8,836.5,836.5,353,353,125.4,125.4,0,0,0,0,836.5,836.5,353,353,125.4,125.4,0,0,0,0,0,0,5.4,0,3.6,0,0,7.5,0,5.4
564,3262,1422.7,806.3,14.3,400.1,0,1531.4,1128.3,129.2,0,114.8,0,378.6,67.1,67.1,695.6,213,213,46.2,14.4,46.2,0,0,14.4,1001.2,1001.2,607,607,291.8,291.8,102.4,102.4,0,0,0,0,607,607,291.8,291.8,102.4,102.4,0,0,0,0,0,0,4.5,0,2.9,0,0,6.2,0,4.4
565,2313.4,3062,497.8,61.2,299.2,0,1120.6,966.1,83.2,635.7,73.9,1160.3,236.7,61,61,530.8,177.7,177.7,31.7,12.9,31.7,0,0,12.9,792.5,792.5,476.5,476.5,231.9,231.9,84,84,0,0,0,0,476.5,476.5,231.9,231.9,84,84,0,0,0,0,0,0,3.6,0,2.4,0,0,4.9,0,3.6
566,5185.8,3497.8,1133.7,576.6,571.4,126.5,2307.1,2022.3,212.3,0,188.7,0,529.2,232.7,232.7,1010.3,539.8,539.8,66.9,37.3,66.9,0,0,37.3,1903.7,1903.7,1109.3,1109.3,565.6,565.6,228.8,228.8,0,0,0,0,1109.3,1109.3,565.6,565.6,228.8,228.8,0,0,0,0,0,0,8.7,0,6.5,0,0,12,0,9.8
567,1449.3,651.3,363.3,8.1,178,0,677.3,515,54.3,0,48.2,0,170.9,30.9,30.9,309.1,97.2,97.2,20.6,6.6,20.6,0,0,6.6,457,457,277.1,277.1,133.2,133.2,46.7,46.7,0,0,0,0,277.1,277.1,133.2,133.2,46.7,46.7,0,0,0,0,0,0,2.1,0,1.3,0,0,2.8,0,2
568,8164.4,5377.1,1823.1,593,979.3,197.6,3644.5,3371.9,266.3,0,236.6,0,865,357.6,357.6,1707.5,857,857,108.4,56.5,108.4,0,0,56.5,3077.8,3077.8,1826.6,1826.6,906.5,906.5,344.7,344.7,0,0,0,0,1826.6,1826.6,906.5,906.5,344.7,344.7,0,0,0,0,0,0,14,0,9.9,0,0,19.2,0,14.7
569,3239.9,5082.3,449.2,1141.6,228.6,731.2,897.6,1690,76.7,0,68.2,0,210.6,473.6,473.6,403,1045.8,1045.8,26.4,56.5,26.4,0,0,56.5,1714.9,1714.9,947,947,522.1,522.1,245.8,245.8,0,0,0,0,947,947,522.1,522.1,245.8,245.8,0,0,0,0,0,0,8.1,0,7,0,0,11.1,0,10.5
570,9307.9,7026.9,1909.3,1187.1,1050.6,273.5,4139.3,4050.5,366.8,0,326,0,898.5,468.5,468.5,1845.8,1047.4,1047.4,117.3,74.9,117.3,0,0,74.9,3676.4,3676.4,2137,2137,1093.6,1093.6,445.8,445.8,0,0,0,0,2137,2137,1093.6,1093.6,445.8,445.8,0,0,0,0,0,0,16.9,0,12.7,0,0,23.2,0,19
571,3637.4,3527.4,823.1,377.2,413.7,26.5,1633.7,1641.7,143.1,985.4,127.2,0,385.3,147,147,726.9,349.6,349.6,48.1,26.8,48.1,0,0,26.8,1353.8,1353.8,792.3,792.3,401.4,401.4,160.1,160.1,0,0,0,0,792.3,792.3,401.4,401.4,160.1,160.1,0,0,0,0,0,0,6.2,0,4.6,0,0,8.5,0,6.8
572,8609.6,9457,1594.8,1439.3,798.6,1436.4,2892.1,3671.4,219.3,0,194.9,0,756.4,841.2,841.2,1328.4,2068.6,2068.6,89.8,103.3,89.8,0,0,103.3,3724.4,3724.4,2140.9,2140.9,1113.6,1113.6,469.9,469.9,0,0,0,0,2140.9,2140.9,1113.6,1113.6,469.9,469.9,0,0,0,0,0,0,17.2,0,13.4,0,0,23.6,0,20.1
573,2654.6,1119.8,642.6,12.4,321.5,0,1258.7,887,111.9,0,99.4,0,301.1,53,53,560.9,167.5,167.5,37.3,11.3,37.3,0,0,11.3,787,787,477.2,477.2,229.4,229.4,80.5,80.5,0,0,0,0,477.2,477.2,229.4,229.4,80.5,80.5,0,0,0,0,0,0,3.5,0,2.3,0,0,4.9,0,3.4
574,779.3,354,187.6,9.4,97,0,370.2,275.2,29.1,0,25.9,0,88.4,17.5,17.5,168.9,52,52,11,3.6,11,0,0,3.6,244.2,244.2,148.1,148.1,71.2,71.2,25,25,0,0,0,0,148.1,148.1,71.2,71.2,25,25,0,0,0,0,0,0,1.1,0,0.7,0,0,1.5,0,1.1
575,2888,2619.4,596.9,428.5,303.1,323.2,1103.7,1134,79.7,0,70.9,0,282.9,230.8,230.8,516.8,502.9,502.9,34,28.5,34,0,0,28.5,1220.5,1220.5,708.1,708.1,363.3,363.3,149,149,0,0,0,0,708.1,708.1,363.3,363.3,149,149,0,0,0,0,0,0,5.6,0,4.3,0,0,7.7,0,6.4
576,335.1,1013.5,17.6,368.1,8.6,112,31.3,260.1,2.2,0,2,0,8.4,114.7,114.7,14.6,158.6,158.6,1,11.6,1,0,0,11.6,393.1,393.1,208.9,208.9,121.7,121.7,62.5,62.5,0,0,0,0,208.9,208.9,121.7,121.7,62.5,62.5,0,0,0,0,0,0,1.9,0,1.8,0,0,2.6,0,2.7
577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,212.3,121.6,58.2,0,27.5,0,94.4,97.6,4.3,0,3.8,0,28,5.6,5.6,46.9,18.4,18.4,3.1,1.2,3.1,0,0,1.2,86.6,86.6,52.5,52.5,25.2,25.2,8.9,8.9,0,0,0,0,52.5,52.5,25.2,25.2,8.9,8.9,0,0,0,0,0,0,0.4,0,0.3,0,0,0.5,0,0.4
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,145.8,99.4,30.7,42,16.3,0,66.9,39.7,7.5,0,6.7,0,14.1,10.2,10.2,28.6,7.5,7.5,1,0.6,1,0,0,0.6,35.6,35.6,19.9,19.9,11.5,11.5,4.1,4.1,0,0,0,0,19.9,19.9,11.5,11.5,4.1,4.1,0,0,0,0,0,0,0.2,0,0.1,0,0,0.2,0,0.2
583,520,262.3,123.6,47,62.2,0,239.6,165.7,23.9,0,21.2,0,56.8,18.3,18.3,106.8,31.3,31.3,3.7,1.5,3.7,0,0,1.5,148.7,148.7,83.3,83.3,48.2,48.2,17.2,17.2,0,0,0,0,83.3,83.3,48.2,48.2,17.2,17.2,0,0,0,0,0,0,0.7,0,0.5,0,0,1,0,0.7
584,291,121.3,64.3,15.7,34,0,139.7,82.4,15.8,0,14,0,29.4,7.7,7.7,59.8,15.6,15.6,2.1,0.7,2.1,0,0,0.7,73.9,73.9,41.4,41.4,24,24,8.6,8.6,0,0,0,0,41.4,41.4,24,24,8.6,8.6,0,0,0,0,0,0,0.4,0,0.2,0,0,0.5,0,0.4
585,342.2,138.2,77.4,10.7,40.3,0,164.3,100.7,17.7,0,15.7,0,35.5,7.8,7.8,70.6,19,19,2.5,0.8,2.5,0,0,0.8,90.4,90.4,50.6,50.6,29.3,29.3,10.5,10.5,0,0,0,0,50.6,50.6,29.3,29.3,10.5,10.5,0,0,0,0,0,0,0.5,0,0.3,0,0,0.6,0,0.4
586,236.5,120,57.1,17.8,28.6,0,109.8,79.3,9.6,0,8.5,0,26.4,7.9,7.9,49.5,15,15,1.7,0.7,1.7,0,0,0.7,71.2,71.2,39.9,39.9,23.1,23.1,8.2,8.2,0,0,0,0,39.9,39.9,23.1,23.1,8.2,8.2,0,0,0,0,0,0,0.4,0,0.2,0,0,0.5,0,0.4
587,1617.6,541.8,331.9,24.4,184.3,0,805.3,411.6,100.7,0,89.5,0,151.1,27.9,27.9,332.5,77.9,77.9,11.5,3,11.5,0,0,3,371.1,371.1,207.6,207.6,120.3,120.3,43.2,43.2,0,0,0,0,207.6,207.6,120.3,120.3,43.2,43.2,0,0,0,0,0,0,1.9,0,1.2,0,0,2.6,0,1.8
588,1834.1,866.3,381.5,126.8,205.3,7.9,871.4,555.7,105.9,0,94.1,0,173.8,59.8,59.8,363.1,116.1,116.1,12.6,4.9,12.6,0,0,4.9,539.9,539.9,292.9,292.9,176.9,176.9,70.2,70.2,0,0,0,0,292.9,292.9,176.9,176.9,70.2,70.2,0,0,0,0,0,0,2.7,0,2,0,0,3.7,0,3
589,561.2,220.4,126.9,13.7,66.3,0,269.6,163.8,29.4,0,26.1,0,58.1,11.9,11.9,116,30.9,30.9,4,1.2,4,0,0,1.2,147.1,147.1,82.4,82.4,47.7,47.7,17,17,0,0,0,0,82.4,82.4,47.7,47.7,17,17,0,0,0,0,0,0,0.7,0,0.5,0,0,1,0,0.7
590,1163.4,413.6,250.4,20.8,134.3,0,569.8,312.1,67.8,0,60.3,0,114.2,21.7,21.7,237.7,58.9,58.9,8.3,2.3,8.3,0,0,2.3,280.2,280.2,156.9,156.9,90.8,90.8,32.5,32.5,0,0,0,0,156.9,156.9,90.8,90.8,32.5,32.5,0,0,0,0,0,0,1.4,0,0.9,0,0,1.9,0,1.4
591,2142.4,750.7,471.4,12.1,248.8,0,1046,591,121.1,0,107.6,0,215.1,36,36,436.6,111.6,111.6,15.3,4.1,15.3,0,0,4.1,530.5,530.5,297.1,297.1,171.9,171.9,61.5,61.5,0,0,0,0,297.1,297.1,171.9,171.9,61.5,61.5,0,0,0,0,0,0,2.7,0,1.8,0,0,3.6,0,2.6
592,1889.8,614.2,380.1,26.1,215.9,0,953.4,468.4,116.8,0,103.8,0,172.9,31.1,31.1,390.7,88.5,88.5,13.4,3.4,13.4,0,0,3.4,430.9,430.9,240.2,240.2,139.9,139.9,50.8,50.8,0,0,0,0,240.2,240.2,139.9,139.9,50.8,50.8,0,0,0,0,0,0,2.2,0,1.5,0,0,3,0,2.2
593,1935.5,2377.7,393.3,130.1,215.8,15.9,917.3,743.5,106.9,1280.9,95,0,179.5,61.3,61.3,384.3,146,146,13.2,6.2,13.2,0,0,6.2,561.3,561.3,304.8,304.8,183.8,183.8,72.7,72.7,0,0,0,0,304.8,304.8,183.8,183.8,72.7,72.7,0,0,0,0,0,0,2.8,0,2.1,0,0,3.9,0,3.1
594,3789.3,2528.6,707.3,339.9,385.6,313.6,1631,1180.2,196.2,0,174.3,0,322.7,198.3,198.3,684.6,496.6,496.6,23.6,14.7,23.6,0,0,14.7,1112.2,1112.2,597.2,597.2,365.4,365.4,149.5,149.5,0,0,0,0,597.2,597.2,365.4,365.4,149.5,149.5,0,0,0,0,0,0,5.6,0,4.3,0,0,7.7,0,6.4
595,6541.8,6869.7,1272,592.9,705.6,135,3065.9,2330.4,367.9,1188.8,327,1819.1,579.8,256.4,256.4,1264.1,547.1,547.1,43.7,22.1,43.7,0,0,22.1,1992.5,1992.5,1069.3,1069.3,654.9,654.9,268.4,268.4,0,0,0,0,1069.3,1069.3,654.9,654.9,268.4,268.4,0,0,0,0,0,0,10.1,0,7.7,0,0,13.9,0,11.5
596,3957.1,1561.1,845.6,36.6,474.6,19.8,1918.1,1185.3,211.4,0,187.9,0,389.4,78.4,78.4,826.4,241.1,241.1,28.2,8.6,28.2,0,0,8.6,1071.8,1071.8,598.5,598.5,347.7,347.7,125.5,125.5,0,0,0,0,598.5,598.5,347.7,347.7,125.5,125.5,0,0,0,0,0,0,5.4,0,3.6,0,0,7.4,0,5.4
597,1992,701.6,430.3,16.9,234.5,0,977.3,547.1,112.3,0,99.8,0,196.6,34.4,34.4,416.7,103.3,103.3,14.3,3.8,14.3,0,0,3.8,491,491,275,275,159.2,159.2,56.9,56.9,0,0,0,0,275,275,159.2,159.2,56.9,56.9,0,0,0,0,0,0,2.5,0,1.6,0,0,3.4,0,2.4
598,1227.1,374.4,225.3,33.9,134.3,0,632,268,86.2,0,76.7,0,102,21.7,21.7,250.1,50.7,50.7,8.6,2.1,8.6,0,0,2.1,242.7,242.7,135.5,135.5,78.7,78.7,28.4,28.4,0,0,0,0,135.5,135.5,78.7,78.7,28.4,28.4,0,0,0,0,0,0,1.2,0,0.8,0,0,1.7,0,1.2
599,1095.4,534.6,228,80.5,122.5,0,525.9,350.7,61.2,0,54.4,0,103.9,31.9,31.9,217.5,71.5,71.5,7.6,3,7.6,0,0,3,321.1,321.1,174.4,174.4,105.1,105.1,41.6,41.6,0,0,0,0,174.4,174.4,105.1,105.1,41.6,41.6,0,0,0,0,0,0,1.6,0,1.2,0,0,2.2,0,1.8
600,4145.1,4615.9,524.4,556,281.4,1348.1,1191.3,830.4,141.1,0,125.4,0,238.9,536.7,536.7,498.6,1344.7,1344.7,17.3,27.9,17.3,0,0,27.9,1183.4,1183.4,613.8,613.8,393.1,393.1,176.5,176.5,0,0,0,0,613.8,613.8,393.1,393.1,176.5,176.5,0,0,0,0,0,0,6.1,0,5,0,0,8.3,0,7.5
601,3908.9,1508.9,872.5,17.4,471.8,0,1882.3,1194.5,204,0,181.3,0,401.4,71.5,71.5,816.5,225.5,225.5,28.1,8.2,28.1,0,0,8.2,1072.2,1072.2,600.5,600.5,347.5,347.5,124.2,124.2,0,0,0,0,600.5,600.5,347.5,347.5,124.2,124.2,0,0,0,0,0,0,5.4,0,3.6,0,0,7.4,0,5.3
602,613.5,243.7,121.1,51.5,68.4,0,303.6,146.5,39.5,0,35.1,0,55,18.1,18.1,123.7,27.7,27.7,4.3,1.4,4.3,0,0,1.4,131.5,131.5,73.6,73.6,42.6,42.6,15.2,15.2,0,0,0,0,73.6,73.6,42.6,42.6,15.2,15.2,0,0,0,0,0,0,0.7,0,0.4,0,0,0.9,0,0.7
603,2706.2,969.9,576.4,45.1,312.9,0,1326.1,735.4,159.5,0,141.8,0,263,50.2,50.2,557.9,139.2,139.2,19.2,5.3,19.2,0,0,5.3,662.3,662.3,370,370,214.8,214.8,77.4,77.4,0,0,0,0,370,370,214.8,214.8,77.4,77.4,0,0,0,0,0,0,3.3,0,2.2,0,0,4.6,0,3.3
604,4018.5,1410.9,854.3,27.2,468.2,7.9,1974.2,1093,232.4,0,206.6,0,390.2,69.4,69.4,828.2,213.4,213.4,28.6,7.7,28.6,0,0,7.7,986,986,551.3,551.3,319.8,319.8,115,115,0,0,0,0,551.3,551.3,319.8,319.8,115,115,0,0,0,0,0,0,4.9,0,3.3,0,0,6.8,0,4.9
605,218.3,579.2,34.9,204.9,15.9,7.3,54.6,260.8,3.6,0,3.2,0,16.4,44.5,44.5,27.2,61.7,61.7,0.9,3.5,0.9,0,0,3.5,257,257,127.2,127.2,86.5,86.5,43.2,43.2,0,0,0,0,127.2,127.2,86.5,86.5,43.2,43.2,0,0,0,0,0,0,1.3,0,1.2,0,0,1.8,0,1.8
606,3511.1,1273.8,754.4,13.8,419.1,0,1717.5,1009.3,195.5,0,173.8,0,346.3,60.2,60.2,739.1,190.6,190.6,25.2,7,25.2,0,0,7,906,906,507.4,507.4,293.6,293.6,105,105,0,0,0,0,507.4,507.4,293.6,293.6,105,105,0,0,0,0,0,0,4.5,0,3,0,0,6.2,0,4.5
607,3340.5,1257.3,679.7,48.2,397.2,4,1660.7,955.9,187.2,0,166.4,0,312.7,64.3,64.3,708.5,184.9,184.9,23.9,6.9,23.9,0,0,6.9,873.6,873.6,486.3,486.3,283.7,283.7,103.6,103.6,0,0,0,0,486.3,486.3,283.7,283.7,103.6,103.6,0,0,0,0,0,0,4.4,0,3,0,0,6,0,4.4
608,2306.6,824.7,499,33.4,268.3,0,1128.5,630.1,132.1,0,117.4,0,227.8,42.3,42.3,475.8,119,119,16.5,4.5,16.5,0,0,4.5,565.5,565.5,316.7,316.7,183.3,183.3,65.5,65.5,0,0,0,0,316.7,316.7,183.3,183.3,65.5,65.5,0,0,0,0,0,0,2.8,0,1.9,0,0,3.9,0,2.8
609,11491.2,8040.2,2110.2,769,1168.6,978.2,4993.2,3210.1,599,994.9,532.3,0,963.1,605.5,605.5,2077.5,1482.4,1482.4,71.7,40.9,71.7,0,0,40.9,3147.2,3147.2,1700.8,1700.8,1032,1032,414.4,414.4,0,0,0,0,1700.8,1700.8,1032,1032,414.4,414.4,0,0,0,0,0,0,15.9,0,11.8,0,0,21.9,0,17.7
610,6034.2,11163.3,414.2,1357,229.6,3232,947.7,1608,103.9,719.8,92.3,0,190.1,1160.6,1160.6,404.1,3085.9,3085.9,13.9,63.3,13.9,0,0,63.3,2002.8,2002.8,998.8,998.8,673,673,331,331,0,0,0,0,998.8,998.8,673,673,331,331,0,0,0,0,0,0,10.4,0,9.5,0,0,14.3,0,14.1
611,4681.4,3829.6,886.5,296.4,489.9,448.6,1998.9,1465.3,222.4,733.3,197.7,0,407.1,233.7,233.7,861.7,652.3,652.3,29.4,17.9,29.4,0,0,17.9,1372.3,1372.3,743.7,743.7,449.6,449.6,178.9,178.9,0,0,0,0,743.7,743.7,449.6,449.6,178.9,178.9,0,0,0,0,0,0,6.9,0,5.1,0,0,9.5,0,7.6
612,5057.7,2036.4,1069.1,101.1,593.4,23.8,2455.9,1500.2,279.5,0,248.4,0,490.1,107,107,1049.2,304.3,304.3,35.9,11.3,35.9,0,0,11.3,1348.8,1348.8,748.7,748.7,438.4,438.4,161.6,161.6,0,0,0,0,748.7,748.7,438.4,438.4,161.6,161.6,0,0,0,0,0,0,6.8,0,4.6,0,0,9.3,0,6.9
613,1686.9,585.4,363.1,18.5,194.3,0,827.4,452.2,99.2,0,88.2,0,165.5,29.3,29.3,343.6,85.4,85.4,12,3.2,12,0,0,3.2,405.9,405.9,227.3,227.3,131.5,131.5,47,47,0,0,0,0,227.3,227.3,131.5,131.5,47,47,0,0,0,0,0,0,2,0,1.3,0,0,2.8,0,2
614,10659.5,4772.9,2084.5,300.2,1172,381.6,5027.1,2856.2,604,0,536.8,0,952.2,330.1,330.1,2098.9,904.9,904.9,71.9,27,71.9,0,0,27,2668.4,2668.4,1471,1471,869.4,869.4,327.9,327.9,0,0,0,0,1471,1471,869.4,869.4,327.9,327.9,0,0,0,0,0,0,13.4,0,9.4,0,0,18.4,0,14
615,5313.3,8941.6,412.9,1446.6,226.9,2564.2,968.2,1434.2,110.4,0,98.1,0,188.4,988.8,988.8,407.1,2507.9,2507.9,14,54.4,14,0,0,54.4,2048.7,2048.7,1018.3,1018.3,689.1,689.1,341.3,341.3,0,0,0,0,1018.3,1018.3,689.1,689.1,341.3,341.3,0,0,0,0,0,0,10.6,0,9.8,0,0,14.6,0,14.6
616,4825.1,3090.9,961.6,282.4,531,127,2278.3,1480.3,266.7,650.6,237,0,438.5,162.9,162.9,955.5,387.6,387.6,32.8,13.9,32.8,0,0,13.9,1352.7,1352.7,735.1,735.1,442.8,442.8,174.8,174.8,0,0,0,0,735.1,735.1,442.8,442.8,174.8,174.8,0,0,0,0,0,0,6.8,0,5,0,0,9.4,0,7.5
617,5626.7,2020.2,1218.5,57.2,655.2,7.9,2751.9,1552.3,316.8,0,281.6,0,556.1,101.7,101.7,1155,301,301,40.1,11.1,40.1,0,0,11.1,1411.7,1411.7,787.6,787.6,458.2,458.2,166,166,0,0,0,0,787.6,787.6,458.2,458.2,166,166,0,0,0,0,0,0,7.1,0,4.7,0,0,9.7,0,7.1
618,3454.6,2336.2,604.1,316.1,339.2,412.8,1450.1,873.3,173.3,0,154,0,276,213.7,213.7,606.9,520.3,520.3,20.8,13.8,20.8,0,0,13.8,997.9,997.9,533.9,533.9,328.3,328.3,135.7,135.7,0,0,0,0,533.9,533.9,328.3,328.3,135.7,135.7,0,0,0,0,0,0,5.1,0,3.9,0,0,7,0,5.8
619,104.9,229.6,2.3,55.2,1.1,61.7,4.2,16.1,0.4,0,0.4,0,1,35,35,1.9,61.6,61.6,0.1,1.4,0.1,0,0,1.4,52.3,52.3,25.3,25.3,17.7,17.7,9.3,9.3,0,0,0,0,25.3,25.3,17.7,17.7,9.3,9.3,0,0,0,0,0,0,0.3,0,0.3,0,0,0.4,0,0.4
620,4124.1,1429.5,889.8,32,476.8,0,2023.1,1117.1,240.4,0,213.6,0,405.6,69.2,69.2,843.1,211.2,211.2,29.4,7.8,29.4,0,0,7.8,1004.9,1004.9,561.8,561.8,325.9,325.9,117.2,117.2,0,0,0,0,561.8,561.8,325.9,325.9,117.2,117.2,0,0,0,0,0,0,5,0,3.4,0,0,6.9,0,5
621,6102,2185.6,1278.5,27.9,718.4,15.9,3010.5,1701.1,346.2,0,307.7,0,586.5,106.1,106.1,1262.5,334.6,334.6,43.5,12,43.5,0,0,12,1531.5,1531.5,857.3,857.3,496.5,496.5,177.8,177.8,0,0,0,0,857.3,857.3,496.5,496.5,177.8,177.8,0,0,0,0,0,0,7.7,0,5.1,0,0,10.5,0,7.6
