coefficient_name,tour_mode,0,1,2,3,4,5
sr2_ASC_auto_sufficient_escort,sr2,0,0.499241649,0.504907629,0.314525572,0.237236467,0.136783398
sr2_ASC_auto_sufficient_othdiscr,sr2,0.49684617,0.996087819,1.001753799,0.811371742,0.734082637,0.633629568
sr2_ASC_auto_sufficient_othmaint,sr2,0.25817883,0.757420479,0.763086459,0.572704402,0.495415297,0.394962228
sr2_ASC_auto_sufficient_school,sr2,-1.6062657,-1.107024051,-1.101358071,-1.291740128,-1.369029233,-1.469482302
sr2_ASC_auto_sufficient_shopping,sr2,0.19770707,0.696948719,0.702614699,0.512232642,0.434943537,0.334490468
sr2_ASC_auto_sufficient_social,sr2,0.5236025,1.022844149,1.028510129,0.838128072,0.760838967,0.660385898
sr2_ASC_auto_sufficient_univ,sr2,-1.859427,-1.360185351,-1.354519371,-1.544901428,-1.622190533,-1.722643602
sr2_ASC_auto_sufficient_work,sr2,-1.0857458,-0.586504151,-0.580838171,-0.771220228,-0.848509333,-0.948962402
sr2_ASC_auto_sufficient_atwork,sr2,-1.4450618,-0.945820151,-0.940154171,-1.130536228,-1.207825333,-1.308278402
sr3p_ASC_no_auto_eatout,sr3p,0.3219998,1.398105776,1.211733608,1.125953501,0.988218221,0.912022151
sr3p_ASC_no_auto_escort,sr3p,-1.8129267,-0.736820724,-0.923192892,-1.008972999,-1.146708279,-1.222904349
sr3p_ASC_no_auto_othdiscr,sr3p,0.27216902,1.348274996,1.161902828,1.076122721,0.938387441,0.862191371
sr3p_ASC_no_auto_othmaint,sr3p,-0.8031854,0.272920576,0.086548408,7.68E-04,-0.136966979,-0.213163049
sr3p_ASC_no_auto_school,sr3p,-6.0240827,-4.947976724,-5.134348892,-5.220128999,-5.357864279,-5.434060349
sr3p_ASC_no_auto_shopping,sr3p,-0.27978948,0.796316496,0.609944328,0.524164221,0.386428941,0.310232871
sr3p_ASC_no_auto_social,sr3p,-1.4036902,-0.327584224,-0.513956392,-0.599736499,-0.737471779,-0.813667849
sr3p_ASC_no_auto_univ,sr3p,-6.056001,-4.979895024,-5.166267192,-5.252047299,-5.389782579,-5.465978649
sr3p_ASC_no_auto_work,sr3p,-0.5831269,0.492979076,0.306606908,0.220826801,0.083091521,0.006895451
sr3p_ASC_no_auto_atwork,sr3p,0.5826626,1.658768576,1.472396408,1.386616301,1.248881021,1.172684951
sr3p_ASC_auto_deficient_eatout,sr3p,0.04605236,1.122158336,0.935786168,0.850006061,0.712270781,0.636074711
sr3p_ASC_auto_deficient_escort,sr3p,-0.40818766,0.667918316,0.481546148,0.395766041,0.258030761,0.181834691
sr3p_ASC_auto_deficient_othdiscr,sr3p,1.0470966,2.123202576,1.936830408,1.851050301,1.713315021,1.637118951
sr3p_ASC_auto_deficient_othmaint,sr3p,-1.3493925,-0.273286524,-0.459658692,-0.545438799,-0.683174079,-0.759370149
sr3p_ASC_auto_deficient_school,sr3p,0.7149571,1.791063076,1.604690908,1.518910801,1.381175521,1.304979451
sr3p_ASC_auto_deficient_shopping,sr3p,-0.073370166,1.00273581,0.816363642,0.730583535,0.592848255,0.516652185
sr3p_ASC_auto_deficient_social,sr3p,1.5007243,2.576830276,2.390458108,2.304678001,2.166942721,2.090746651
sr3p_ASC_auto_deficient_univ,sr3p,-1.7277422,-0.651636224,-0.838008392,-0.923788499,-1.061523779,-1.137719849
sr3p_ASC_auto_deficient_work,sr3p,-0.8527042,0.223401776,0.037029608,-0.048750499,-0.186485779,-0.262681849
sr3p_ASC_auto_deficient_atwork,sr3p,-2.514658,-1.438552024,-1.624924192,-1.710704299,-1.848439579,-1.924635649
sr3p_ASC_auto_sufficient_eatout,sr3p,0.8468596,1.922965576,1.736593408,1.650813301,1.513078021,1.436881951
sr3p_ASC_auto_sufficient_escort,sr3p,-0.05741253,1.018693446,0.832321278,0.746541171,0.608805891,0.532609821
sr3p_ASC_auto_sufficient_othdiscr,sr3p,0.58850205,1.664608026,1.478235858,1.392455751,1.254720471,1.178524401
sr3p_ASC_auto_sufficient_othmaint,sr3p,-0.07549867,1.000607306,0.814235138,0.728455031,0.590719751,0.514523681
sr3p_ASC_auto_sufficient_school,sr3p,-1.0201935,0.055912476,-0.130459692,-0.216239799,-0.353975079,-0.430171149
sr3p_ASC_auto_sufficient_shopping,sr3p,-0.077571295,0.998534681,0.812162513,0.726382406,0.588647126,0.512451056
sr3p_ASC_auto_sufficient_social,sr3p,0.50617886,1.582284836,1.395912668,1.310132561,1.172397281,1.096201211
sr3p_ASC_auto_sufficient_univ,sr3p,-1.9047098,-0.828603824,-1.014975992,-1.100756099,-1.238491379,-1.314687449
sr3p_ASC_auto_sufficient_work,sr3p,-1.4699702,-0.393864224,-0.580236392,-0.666016499,-0.803751779,-0.879947849
sr3p_ASC_auto_sufficient_atwork,sr3p,-1.652174,-0.576068024,-0.762440192,-0.848220299,-0.985955579,-1.062151649
walk_transit_ASC_no_auto_eatout,walk_transit,2.5936368,-0.043166399,-1.065850984,-1.739408089,-2.21702276,-2.545592456
walk_transit_ASC_no_auto_escort,walk_transit,-2.2172081,-4.854011299,-5.876695884,-6.550252989,-7.02786766,-7.356437356
walk_transit_ASC_no_auto_othdiscr,walk_transit,2.2437785,-0.393024699,-1.415709284,-2.089266389,-2.56688106,-2.895450756
walk_transit_ASC_no_auto_othmaint,walk_transit,2.5643456,-0.072457599,-1.095142184,-1.768699289,-2.24631396,-2.574883656
walk_transit_ASC_no_auto_school,walk_transit,21.383749,18.7469458,17.72426122,17.05070411,16.57308944,16.24451974
walk_transit_ASC_no_auto_shopping,walk_transit,2.1067476,-0.530055599,-1.552740184,-2.226297289,-2.70391196,-3.032481656
walk_transit_ASC_no_auto_social,walk_transit,1.3814651,-1.255338099,-2.278022684,-2.951579789,-3.42919446,-3.757764156
walk_transit_ASC_no_auto_univ,walk_transit,8.786037,6.149233801,5.126549216,4.452992111,3.97537744,3.646807744
walk_transit_ASC_no_auto_work,walk_transit,5.0354166,2.398613401,1.375928816,0.702371711,0.22475704,-0.103812656
walk_transit_ASC_no_auto_atwork,walk_transit,2.7041876,0.067384401,-0.955300184,-1.628857289,-2.10647196,-2.435041656
walk_transit_ASC_auto_deficient_eatout,walk_transit,-0.03896324,-2.675766439,-3.698451024,-4.372008129,-4.8496228,-5.178192496
walk_transit_ASC_auto_deficient_escort,walk_transit,-4.960704,-7.597507199,-8.620191784,-9.293748889,-9.77136356,-10.09993326
walk_transit_ASC_auto_deficient_othdiscr,walk_transit,0.9530884,-1.683714799,-2.706399384,-3.379956489,-3.85757116,-4.186140856
walk_transit_ASC_auto_deficient_othmaint,walk_transit,-3.0597258,-5.696528999,-6.719213584,-7.392770689,-7.87038536,-8.198955056
walk_transit_ASC_auto_deficient_school,walk_transit,4.120708,1.483904801,0.461220216,-0.212336889,-0.68995156,-1.018521256
walk_transit_ASC_auto_deficient_shopping,walk_transit,-0.8476569,-3.484460099,-4.507144684,-5.180701789,-5.65831646,-5.986886156
walk_transit_ASC_auto_deficient_social,walk_transit,0.97444487,-1.662358329,-2.685042914,-3.358600019,-3.83621469,-4.164784386
walk_transit_ASC_auto_deficient_univ,walk_transit,3.1362555,0.499452301,-0.523232284,-1.196789389,-1.67440406,-2.002973756
walk_transit_ASC_auto_deficient_work,walk_transit,0.65302855,-1.983774649,-3.006459234,-3.680016339,-4.15763101,-4.486200706
walk_transit_ASC_auto_deficient_atwork,walk_transit,-2.9988291,-5.635632299,-6.658316884,-7.331873989,-7.80948866,-8.138058356
walk_transit_ASC_auto_sufficient_eatout,walk_transit,-1.1126906,-3.749493799,-4.772178384,-5.445735489,-5.92335016,-6.251919856
walk_transit_ASC_auto_sufficient_escort,walk_transit,-4.934847,-7.571650199,-8.594334784,-9.267891889,-9.74550656,-10.07407626
walk_transit_ASC_auto_sufficient_othdiscr,walk_transit,-0.80636793,-3.443171129,-4.465855714,-5.139412819,-5.61702749,-5.945597186
walk_transit_ASC_auto_sufficient_othmaint,walk_transit,-1.5471172,-4.183920399,-5.206604984,-5.880162089,-6.35777676,-6.686346456
walk_transit_ASC_auto_sufficient_school,walk_transit,0.74590874,-1.890894459,-2.913579044,-3.587136149,-4.06475082,-4.393320516
walk_transit_ASC_auto_sufficient_shopping,walk_transit,-2.2036798,-4.840482999,-5.863167584,-6.536724689,-7.01433936,-7.342909056
walk_transit_ASC_auto_sufficient_social,walk_transit,-0.3453759,-2.982179099,-4.004863684,-4.678420789,-5.15603546,-5.484605156
walk_transit_ASC_auto_sufficient_univ,walk_transit,0.4731163,-2.163686899,-3.186371484,-3.859928589,-4.33754326,-4.666112956
walk_transit_ASC_auto_sufficient_work,walk_transit,-0.8916507,-3.528453899,-4.551138484,-5.224695589,-5.70231026,-6.030879956
walk_transit_ASC_auto_sufficient_atwork,walk_transit,-3.401027,-6.037830199,-7.060514784,-7.734071889,-8.21168656,-8.540256256
drive_transit_ASC_no_auto_all,drive_transit,0,-1.405390516,-1.183867215,-1.306989025,-1.443106911,-1.568795919
drive_transit_ASC_auto_deficient_eatout,drive_transit,0.5998061,-0.805584416,-0.584061115,-0.707182925,-0.843300811,-0.968989819
drive_transit_ASC_auto_deficient_escort,drive_transit,-1.1537067,-2.559097216,-2.337573915,-2.460695725,-2.596813611,-2.722502619
drive_transit_ASC_auto_deficient_othdiscr,drive_transit,0.3199308,-1.085459716,-0.863936415,-0.987058225,-1.123176111,-1.248865119
drive_transit_ASC_auto_deficient_othmaint,drive_transit,-0.29943228,-1.704822796,-1.483299495,-1.606421305,-1.742539191,-1.868228199
drive_transit_ASC_auto_deficient_school,drive_transit,5.3252654,3.919874884,4.141398185,4.018276375,3.882158489,3.756469481
drive_transit_ASC_auto_deficient_shopping,drive_transit,-0.41849178,-1.823882296,-1.602358995,-1.725480805,-1.861598691,-1.987287699
drive_transit_ASC_auto_deficient_social,drive_transit,1.5627195,0.157328984,0.378852285,0.255730475,0.119612589,-0.006076419
drive_transit_ASC_auto_deficient_univ,drive_transit,1.8501176,0.444727084,0.666250385,0.543128575,0.407010689,0.281321681
drive_transit_ASC_auto_deficient_work,drive_transit,0.10081567,-1.304574846,-1.083051545,-1.206173355,-1.342291241,-1.467980249
drive_transit_ASC_auto_sufficient_eatout,drive_transit,-0.96951586,-2.374906376,-2.153383075,-2.276504885,-2.412622771,-2.538311779
drive_transit_ASC_auto_sufficient_escort,drive_transit,-4.6014247,-6.006815216,-5.785291915,-5.908413725,-6.044531611,-6.170220619
drive_transit_ASC_auto_sufficient_othdiscr,drive_transit,-0.3785917,-1.783982216,-1.562458915,-1.685580725,-1.821698611,-1.947387619
drive_transit_ASC_auto_sufficient_othmaint,drive_transit,-2.6249478,-4.030338316,-3.808815015,-3.931936825,-4.068054711,-4.193743719
drive_transit_ASC_auto_sufficient_school,drive_transit,1.40135,-0.004040516,0.217482785,0.094360975,-0.041756911,-0.167445919
drive_transit_ASC_auto_sufficient_shopping,drive_transit,-2.1718938,-3.577284316,-3.355761015,-3.478882825,-3.615000711,-3.740689719
drive_transit_ASC_auto_sufficient_social,drive_transit,-0.61585575,-2.021246266,-1.799722965,-1.922844775,-2.058962661,-2.184651669
drive_transit_ASC_auto_sufficient_univ,drive_transit,1.3587753,-0.046615216,0.174908085,0.051786275,-0.084331611,-0.210020619
drive_transit_ASC_auto_sufficient_work,drive_transit,-1.0045459,-2.409936416,-2.188413115,-2.311534925,-2.447652811,-2.573341819
taxi_ASC_no_auto_eatout_othdiscr_social,other_transit,0.9923,-5.158009703,-8.536190196,-11.93037371,-15.38818355,-18.88731283
taxi_ASC_no_auto_escort_othmaint_shopping,other_transit,1.8939,-4.256409703,-7.634590196,-11.02877371,-14.48658355,-17.98571283
taxi_ASC_no_auto_school_univ,other_transit,-7,-13.1503097,-16.5284902,-19.92267371,-23.38048355,-26.87961283
taxi_ASC_no_auto_work,other_transit,4.7291,-1.421209703,-4.799390196,-8.193573706,-11.65138355,-15.15051283
taxi_ASC_no_auto_atwork,other_transit,4.1021,-2.048209703,-5.426390196,-8.820573706,-12.27838355,-15.77751283
taxi_ASC_auto_deficient_eatout_othdiscr_social,other_transit,-3.1317,-9.282009703,-12.6601902,-16.05437371,-19.51218355,-23.01131283
taxi_ASC_auto_deficient_escort_othmaint_shopping,other_transit,0.1766,-5.973709703,-9.351890196,-12.74607371,-16.20388355,-19.70301283
taxi_ASC_auto_deficient_school,other_transit,-0.3338,-6.484109703,-9.862290196,-13.25647371,-16.71428355,-20.21341283
taxi_ASC_auto_deficient_univ,other_transit,4.2492,-1.901109703,-5.279290196,-8.673473706,-12.13128355,-15.63041283
